Time Period,Number of CMBS issuances,Number of CMBS issuances-144A,Number of CMBS issuances-Agency,Number of CMBS issuances-Outside U.S.,Number of CMBS issuances-Registered,Total CMBS deal volume (US$ Billions),CMBS deal volume (US$ Billions)-144A,CMBS deal volume (US$ Billions)-Agency,CMBS deal volume (US$ Billions)-Outside U.S.,CMBS deal volume (US$ Billions)-Registered
2016,260,52,147,6,55,153.1,22.7,81.3,1.7,47.3
2017,298,71,173,4,50,184.7,40.7,95.7,1.1,47.1
2018,305,79,167,15,44,178.9,37.1,95.6,6.0,40.2
2019,345,91,185,17,52,207.6,48.6,104.3,5.6,49.2
2020,353,58,258,7,30,193.5,32.4,131.2,3.0,26.9
2021,412,124,241,17,30,259.4,89.4,132.1,7.5,30.4
2022,277,61,187,5,24,162.3,49.5,88.1,1.5,23.3
2023,207,40,138,3,26,93.6,21.8,51.1,1.0,19.7
2024,302,119,138,7,38,156.5,75.1,45.8,2.8,32.9
,,,,,,,,,,
2016:Q1,57,12,33,1,11,34.3,6.6,17.5,0.4,9.8
2016:Q2,58,8,36,3,11,34.7,2.0,23.2,0.8,8.7
2016:Q3,63,13,36,1,13,35.2,5.2,18.2,0.3,11.5
2016:Q4,82,19,42,1,20,48.9,8.9,22.4,0.3,17.4
2017:Q1,52,7,35,2,8,30.0,3.9,18.2,0.4,7.6
2017:Q2,73,18,43,0,12,42.5,10.9,20.3,0.0,11.3
2017:Q3,81,23,45,0,13,50.5,13.9,23.9,0.0,12.7
2017:Q4,92,23,50,2,17,61.7,11.9,33.4,0.8,15.5
2018:Q1,71,22,39,2,8,42.2,9.8,23.0,0.9,8.5
2018:Q2,68,17,39,3,9,38.6,8.5,20.9,1.7,7.5
2018:Q3,84,26,40,6,12,45.3,11.1,21.6,1.7,10.8
2018:Q4,82,14,49,4,15,52.9,7.8,30.1,1.6,13.4
2019:Q1,61,18,35,1,7,34.2,7.6,20.5,0.2,5.9
2019:Q2,84,24,41,7,12,47.0,11.3,23.1,2.1,10.5
2019:Q3,78,15,48,3,12,46.5,6.0,27.1,1.2,12.3
2019:Q4,122,34,61,6,21,79.8,23.7,33.6,2.1,20.4
2020:Q1,93,21,57,4,11,51.4,11.3,26.8,1.7,11.6
2020:Q2,76,6,65,0,5,34.0,3.5,26.9,0.0,3.7
2020:Q3,84,11,66,1,6,49.5,7.6,36.5,0.6,4.8
2020:Q4,100,20,70,2,8,58.5,10.0,41.0,0.7,6.8
2021:Q1,95,18,69,2,6,58.0,10.5,40.8,0.6,6.0
2021:Q2,101,30,60,4,7,64.4,18.9,36.6,1.8,7.1
2021:Q3,91,24,54,6,7,54.4,18.2,25.7,3.3,7.2
2021:Q4,125,52,58,5,10,82.7,41.8,29.0,1.8,10.1
2022:Q1,95,30,57,2,6,59.3,20.6,30.6,0.6,7.5
2022:Q2,76,13,52,2,9,48.5,14.5,25.3,0.5,8.2
2022:Q3,57,13,40,0,4,31.1,10.8,16.8,0.0,3.5
2022:Q4,49,5,38,1,5,23.5,3.6,15.4,0.4,4.1
2023:Q1,41,8,30,0,3,16.2,3.6,10.3,0.0,2.3
2023:Q2,44,7,31,0,6,21.9,4.5,12.7,0.0,4.7
2023:Q3,56,10,37,1,8,26.1,5.6,13.8,0.4,6.3
2023:Q4,66,15,40,2,9,29.3,8.1,14.2,0.6,6.4
2024:Q1,54,13,34,0,7,26.0,9.9,10.5,0.0,5.7
2024:Q2,80,38,34,2,6,37.8,20.7,10.2,1.1,5.8
2024:Q3,74,27,33,1,13,38.3,16.5,10.6,0.3,11.0
2024:Q4,94,41,37,4,12,54.4,28.0,14.5,1.4,10.5
2025:Q1,78,27,36,5,10,50.0,26.1,13.2,2.0,8.6
