"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-05","47,954.99","47,879.60","48,133.54","47,871.51","459.24M","0.22%"
"2025-12-04","47,850.94","47,888.16","48,049.72","47,692.96","498.75M","-0.07%"
"2025-12-03","47,882.90","47,371.62","47,969.64","47,371.62","494.33M","0.86%"
"2025-12-02","47,474.46","47,416.91","47,597.11","47,263.92","516.78M","0.39%"
"2025-12-01","47,289.33","47,580.85","47,676.03","47,271.11","482.19M","-0.90%"
"2025-11-28","47,716.42","47,482.25","47,750.77","47,475.61","272.51M","0.61%"
"2025-11-26","47,427.12","47,196.15","47,571.40","47,196.15","458.14M","0.67%"
"2025-11-25","47,112.45","46,482.36","47,182.90","46,341.35","659.61M","1.43%"
"2025-11-24","46,448.27","46,351.93","46,587.71","46,108.01","748.69M","0.44%"
"2025-11-21","46,245.41","45,808.65","46,577.50","45,781.58","795.91M","1.08%"
"2025-11-20","45,752.26","46,567.51","46,856.75","45,728.93","729.23M","-0.84%"
"2025-11-19","46,138.77","46,138.68","46,299.13","45,905.19","555.37M","0.10%"
"2025-11-18","46,091.74","46,382.92","46,382.92","45,913.60","598.05M","-1.07%"
"2025-11-17","46,590.24","47,068.06","47,202.56","46,430.27","514.87M","-1.18%"
"2025-11-14","47,147.48","47,222.38","47,380.07","46,863.05","553.82M","-0.65%"
"2025-11-13","47,457.22","48,173.92","48,233.25","47,411.10","610.42M","-1.65%"
"2025-11-12","48,254.82","48,015.79","48,431.57","48,015.79","501.49M","0.68%"
"2025-11-11","47,927.96","47,384.51","47,974.37","47,384.51","454.97M","1.18%"
"2025-11-10","47,368.63","47,095.06","47,412.89","46,934.35","490.08M","0.81%"
"2025-11-07","46,987.10","46,797.03","46,996.71","46,495.62","591.10M","0.16%"
"2025-11-06","46,912.30","47,255.12","47,359.29","46,787.44","552.16M","-0.84%"
"2025-11-05","47,311.00","47,097.31","47,460.36","47,041.31","469.01M","0.48%"
