"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-05","22,807.90","22,779.25","22,897.32","22,772.48","","0.17%"
"2025-12-04","22,770.18","22,760.04","22,786.40","22,678.67","","0.15%"
"2025-12-03","22,736.61","22,640.75","22,772.70","22,593.44","","0.42%"
"2025-12-02","22,641.61","22,640.05","22,720.92","22,578.84","","0.21%"
"2025-12-01","22,594.59","22,646.35","22,704.72","22,552.27","","-0.56%"
"2025-11-28","22,721.09","22,627.33","22,727.99","22,623.60","","0.57%"
"2025-11-26","22,593.40","22,455.77","22,662.55","22,455.77","","0.69%"
"2025-11-25","22,437.96","22,223.41","22,470.87","22,080.01","","1.05%"
"2025-11-24","22,205.07","21,938.31","22,239.67","21,938.31","","1.55%"
"2025-11-21","21,866.68","21,683.19","22,045.69","21,580.97","","1.11%"
"2025-11-20","21,625.71","22,179.71","22,399.35","21,611.13","","-1.58%"
"2025-11-19","21,973.10","21,928.44","22,131.25","21,850.04","","0.33%"
"2025-11-18","21,900.66","21,986.96","22,056.94","21,749.22","","-0.69%"
"2025-11-17","22,053.88","22,275.12","22,343.32","21,948.10","","-1.01%"
"2025-11-14","22,279.80","22,173.53","22,416.10","21,995.08","","-0.05%"
"2025-11-13","22,290.56","22,635.75","22,635.75","22,248.88","","-1.74%"
"2025-11-12","22,686.24","22,731.00","22,754.90","22,625.73","","0.06%"
"2025-11-11","22,672.25","22,617.81","22,699.78","22,545.74","","0.21%"
"2025-11-10","22,624.59","22,440.57","22,658.16","22,434.04","","1.48%"
"2025-11-07","22,295.31","22,173.62","22,298.57","21,957.03","","0.24%"
"2025-11-06","22,243.01","22,500.84","22,506.00","22,202.81","","-1.15%"
"2025-11-05","22,502.56","22,400.60","22,608.81","22,385.79","","0.44%"
"2025-11-04","22,404.23","22,504.42","22,571.41","22,390.83","","-1.23%"
"2025-11-03","22,683.06","22,717.29","22,767.53","22,562.65","","0.11%"
"2025-10-31","22,658.86","22,627.63","22,740.92","22,560.52","","0.36%"
"2025-10-30","22,577.09","22,777.39","22,777.39","22,572.36","","-1.01%"
"2025-10-29","22,808.24","22,880.28","22,910.95","22,695.39","","-0.10%"
"2025-10-28","22,831.50","22,868.76","22,893.37","22,785.94","","0.11%"
"2025-10-27","22,806.40","22,694.10","22,814.53","22,694.10","","1.15%"
"2025-10-24","22,547.19","22,455.09","22,603.88","22,455.09","","0.78%"
"2025-10-23","22,372.24","22,232.31","22,407.93","22,232.31","","0.67%"
"2025-10-22","22,222.78","22,354.61","22,376.94","22,078.93","","-0.64%"
"2025-10-21","22,366.40","22,357.32","22,424.62","22,309.68","","0.01%"
"2025-10-20","22,364.52","22,175.80","22,392.40","22,175.80","","1.13%"
"2025-10-17","22,114.99","21,992.83","22,157.90","21,920.02","","0.45%"
"2025-10-16","22,016.85","22,210.75","22,294.57","21,908.96","","-0.75%"
"2025-10-15","22,183.70","22,166.84","22,361.67","21,995.76","","0.42%"
"2025-10-14","22,090.35","21,991.19","22,203.80","21,770.63","","-0.02%"
"2025-10-13","22,094.99","21,948.19","22,133.95","21,948.19","","1.63%"
"2025-10-10","21,739.77","22,362.84","22,443.02","21,735.72","","-2.71%"
"2025-10-09","22,345.57","22,429.19","22,446.97","22,284.00","","-0.32%"
"2025-10-08","22,416.88","22,292.13","22,421.94","22,292.13","","0.64%"
"2025-10-07","22,274.84","22,409.57","22,424.31","22,220.47","","-0.47%"
"2025-10-06","22,379.68","22,315.07","22,418.19","22,307.54","","0.38%"
"2025-10-03","22,295.60","22,305.88","22,414.06","22,264.46","","0.05%"
"2025-10-02","22,284.92","22,307.84","22,321.53","22,201.07","","0.13%"
"2025-10-01","22,255.44","22,124.00","22,278.01","22,090.24","","0.32%"
"2025-09-30","22,183.43","22,100.99","22,192.06","22,026.93","","0.33%"
"2025-09-29","22,109.75","22,115.63","22,157.74","22,058.35","","0.25%"
"2025-09-26","22,054.38","21,945.45","22,064.27","21,924.13","","0.64%"
"2025-09-25","21,914.45","21,946.12","21,961.71","21,800.83","","-0.55%"
"2025-09-24","22,035.50","22,160.61","22,165.27","21,993.36","","-0.36%"
