"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-05","132,621.88","132,621.88","132,621.88","132,621.88","","-0.52%"
"2025-12-04","133,317.66","133,317.66","133,317.66","133,317.66","","1.02%"
"2025-12-03","131,970.44","131,970.44","131,970.44","131,970.44","","0.38%"
"2025-12-02","131,464.70","131,464.70","131,464.70","131,464.70","","-0.17%"
"2025-12-01","131,684.44","131,684.44","131,684.44","131,684.44","","-0.89%"
"2025-11-28","132,861.20","132,861.20","132,861.20","132,861.20","","0.63%"
"2025-11-27","132,030.36","132,030.36","132,030.36","132,030.36","","0.05%"
"2025-11-26","131,958.70","131,958.70","131,958.70","131,958.70","","0.94%"
"2025-11-25","130,734.15","130,734.15","130,734.15","130,734.15","","0.97%"
"2025-11-24","129,480.58","129,480.58","129,480.58","129,480.58","","1.47%"
"2025-11-21","127,600.93","127,600.93","127,600.93","127,600.93","","0.85%"
"2025-11-20","126,520.30","126,520.30","126,520.30","126,520.30","","-1.23%"
"2025-11-19","128,089.88","128,089.88","128,089.88","128,089.88","","0.81%"
"2025-11-18","127,064.69","127,064.69","127,064.69","127,064.69","","-0.13%"
"2025-11-17","127,229.49","127,229.49","127,229.49","127,229.49","","-0.82%"
"2025-11-14","128,277.96","128,277.96","128,277.96","128,277.96","","0.30%"
"2025-11-13","127,899.32","127,899.32","127,899.32","127,899.32","","-1.86%"
"2025-11-12","130,325.26","130,325.26","130,325.26","130,325.26","","1.38%"
"2025-11-11","128,555.86","128,555.86","128,555.86","128,555.86","","0.31%"
"2025-11-10","128,164.32","128,164.32","128,164.32","128,164.32","","1.35%"
"2025-11-07","126,454.56","126,454.56","126,454.56","126,454.56","","0.15%"
"2025-11-06","126,270.20","126,270.20","126,270.20","126,270.20","","-0.78%"
"2025-11-05","127,261.47","127,261.47","127,261.47","127,261.47","","1.10%"
