"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-05","6,870.40","6,866.32","6,895.78","6,858.29","","0.19%"
"2025-12-04","6,857.12","6,866.47","6,866.47","6,827.12","","0.11%"
"2025-12-03","6,849.72","6,815.29","6,862.42","6,810.43","","0.30%"
"2025-12-02","6,829.37","6,830.96","6,851.55","6,806.71","","0.25%"
"2025-12-01","6,812.63","6,812.30","6,843.65","6,799.94","","-0.53%"
"2025-11-28","6,849.09","6,822.52","6,850.86","6,819.75","","0.54%"
"2025-11-26","6,812.61","6,793.55","6,831.44","6,783.87","","0.69%"
"2025-11-25","6,765.88","6,697.03","6,776.40","6,659.98","","0.91%"
"2025-11-24","6,705.12","6,636.54","6,715.75","6,630.70","","1.55%"
"2025-11-21","6,602.99","6,555.77","6,660.05","6,521.92","","0.98%"
"2025-11-20","6,538.76","6,737.93","6,770.35","6,534.05","","-1.56%"
"2025-11-19","6,642.16","6,625.84","6,689.75","6,603.50","","0.38%"
"2025-11-18","6,617.32","6,641.19","6,666.63","6,574.32","","-0.83%"
"2025-11-17","6,672.41","6,713.61","6,754.50","6,638.90","","-0.92%"
"2025-11-14","6,734.11","6,672.14","6,774.31","6,646.87","","-0.05%"
"2025-11-13","6,737.49","6,826.47","6,828.05","6,724.72","","-1.66%"
"2025-11-12","6,850.92","6,867.77","6,869.91","6,829.62","","0.06%"
"2025-11-11","6,846.61","6,815.64","6,855.13","6,806.87","","0.21%"
"2025-11-10","6,832.43","6,785.36","6,841.32","6,770.56","","1.54%"
"2025-11-07","6,728.80","6,696.18","6,730.11","6,631.44","","0.13%"
"2025-11-06","6,720.32","6,787.59","6,796.68","6,707.51","","-1.12%"
"2025-11-05","6,796.29","6,769.77","6,829.78","6,763.11","","0.37%"
