Category,Metric/Item,Value,Unit/Context,Source Citation
Financial Overview,Total Revenue,281.7,USD Billion,
Financial Overview,Operating Income,128.5,USD Billion,
Financial Overview,Net Income,101.8,USD Billion,
Financial Overview,Diluted Earnings Per Share (EPS),13.64,USD,
Financial Overview,Revenue Growth (YoY),15,Percentage,
Financial Overview,Operating Income Growth (YoY),17,Percentage,
Segment Performance,Productivity and Business Processes Revenue,120.8,USD Billion,
Segment Performance,Productivity and Business Processes Operating Income,69.8,USD Billion,
Segment Performance,Intelligent Cloud Revenue,106.3,USD Billion,
Segment Performance,Intelligent Cloud Operating Income,44.6,USD Billion,
Segment Performance,More Personal Computing Revenue,54.6,USD Billion,
Segment Performance,More Personal Computing Operating Income,14.2,USD Billion,
Key Product Highlights,Microsoft Cloud Revenue,168.0+,USD Billion (approx.),
Key Product Highlights,Azure Revenue Growth,34,Percentage,
Key Product Highlights,Azure Revenue,75.0+,USD Billion,
Key Product Highlights,Microsoft 365 Consumer Subscribers,89.0,Million,
Balance Sheet,Total Assets,619.0,USD Billion,
Balance Sheet,Cash & Cash Equivalents,30.2,USD Billion,
Balance Sheet,Short-term Investments,64.3,USD Billion,
Balance Sheet,Total Cash & Short-term Investments,94.6,USD Billion,
Balance Sheet,Total Debt,43.2,USD Billion (Short+Long Term),
Balance Sheet,Total Stockholders' Equity,343.5,USD Billion,
Cash Flow,Net Cash from Operations,136.2,USD Billion,
Cash Flow,Net Cash used in Investing,-72.6,USD Billion,
Cash Flow,Net Cash used in Financing,-51.7,USD Billion,
Cash Flow,Capital Expenditures (Additions to PP&E),64.6,USD Billion,
Shareholder Returns,Total Returned to Shareholders,35.0,USD Billion (Est. Dividends + Buybacks),
Shareholder Returns,Dividends per Share (Q4),0.75,USD (approx. annual rate $3.00),
