Item,Common Shares Amount,Additional Paid-in-Capital,Earnings Less Distributions,Accumulated Other Comprehensive Income,Noncontrolling Interests (JV),Noncontrolling Interests (Funds),Noncontrolling Interests (OP),Total Equity
Balance Dec 31 2024,$2175,$4144301,$(1005627),$428,$495340,$82875,$290005,$4009497
Net (loss) income,0,0,(58758),0,(5095),(2556),4901,(56008)
Shares issued on redemption,44,61446,0,0,0,0,(61490),0
Shares issued under Omnibus plan,0,(140),0,0,0,0,0,(140)
Contributions from NCI,0,0,0,0,11723,0,0,11723
Distributions to NCI,0,0,0,0,(5710),0,0,(5710)
Change in value of interest rate caps,0,0,0,(757),0,0,(62),(819)
Amortization of equity awards,0,506,0,0,0,0,13755,14261
Sale of 45% interest 900 Third Ave,0,(71912),0,0,164669,0,0,92757
Sale of 25% interest One Front St,0,(63430),0,0,73696,0,0,10266
Other/Reallocation,0,15471,(140),(329),(15200),5112,(15002),461
Balance Sep 30 2025,$2219,$4086243,$(1064525),$(658),$744813,$85431,$222107,$4076288
