Item,3 Months Ended Sep 30 2025,3 Months Ended Sep 30 2024,9 Months Ended Sep 30 2025,9 Months Ended Sep 30 2024
Net (loss) income,$(30282),$(4203),$(56008),$9668
"Other comprehensive (loss) income:",,,
Change in value of interest rate swaps and interest rate caps,(3586),(345),(14241),(819)
Pro rata share of other comprehensive (loss) income of unconsolidated joint ventures,(34),(30),38,2
Comprehensive loss,(7823),(30627),(56827),(4535)
"Less comprehensive (income) loss attributable to noncontrolling interests in:",,,
Consolidated joint ventures,(279),(6959),(18434),(5095)
Consolidated real estate related funds,(688),581,(2556),408
Operating Partnership,1198,2656,1911,5292
Comprehensive loss attributable to common stockholders,$(28938),$(13003),$(20650),$(59186)
