Type,Year,Amount (in thousands)
Operating Lease Cash Flows,Remainder of 2025,$135534
Operating Lease Cash Flows,2026,513976
Operating Lease Cash Flows,2027,523072
Operating Lease Cash Flows,2028,544302
Operating Lease Cash Flows,2029,530602
Operating Lease Cash Flows,2030,484175
Operating Lease Cash Flows,Thereafter,2100959
Amortization (Lease Intangibles),Remainder of 2025,998
Amortization (Lease Intangibles),2026,2854
Amortization (Lease Intangibles),2027,2541
Amortization (Lease Intangibles),2028,2493
