Statement,Item,Sep 30 2025,Dec 31 2024
Balance Sheet,Real estate net,$1383558,$1567771
Balance Sheet,Cash and cash equivalents and restricted cash,124488,154669
Balance Sheet,Intangible assets net,35474,42672
Balance Sheet,For-sale residential condominium units,175089,195113
Balance Sheet,Total assets,1780684,2029166
Balance Sheet,Notes and mortgages payable net,1412745,1783587
Balance Sheet,Total liabilities,1524712,1919056
Balance Sheet,Equity,255972,110110
,,
Statement,Item,9 Months Ended Sep 30 2025,9 Months Ended Sep 30 2024
Income Statement,Rental revenue,84209,106557
Income Statement,Other income (condo sales),39701,20432
Income Statement,Total expenses,101724,118577
Income Statement,Interest and other income,5334,4351
Income Statement,Interest and debt expense,(42673),(44729)
Income Statement,Gain on extinguishment of debt,162517,0
Income Statement,Net (loss) income,147335,(29494)
