Assets,Sep 30 2025,Jun 30 2025,Mar 31 2025,Dec 31 2024,Sep 30 2024
Land,1966237,1966237,1966237,1966237,1966237
Buildings and improvements,6384243,6351241,6348260,6325097,6290976
Total Real Estate Cost,8350480,8317478,8314497,8291334,8257213
Accumulated depreciation and amortization,(1737783),(1692997),(1675242),(1639529),(1596069)
Real estate net,6612697,6624481,6639255,6651805,6661144
Cash and cash equivalents,330207,439905,426952,375056,318725
Restricted cash,324150,219660,187055,180391,173510
Accounts and other receivables,26582,23824,20496,18229,18662
Investments in unconsolidated real estate related funds,4416,4397,4678,4649,4607
Investments in unconsolidated joint ventures,81509,84501,81142,85952,128919
Deferred rent receivable,352906,351331,355581,356425,355555
Deferred charges net,126587,116913,106306,100684,103858
Intangible assets net,41093,43724,46983,50492,54125
Other assets,74348,49977,79030,47820,71847
Total assets,7974495,7958713,7947478,7871503,7890952
"Liabilities:",,,,,
Notes and mortgages payable net,3711504,3680857,3678893,3676630,3674367
Accounts payable and accrued expenses,138689,115688,114074,119881,114808
Intangible liabilities net,16541,17804,19301,20870,22465
Other liabilities,31473,41966,34279,44625,27906
Total liabilities,3898207,3856315,3846547,3862006,3839546
"Equity:",,,,,
Paramount Group Inc. equity,3023937,3028442,3087151,3141277,3173867
Noncontrolling interests in Consolidated joint ventures,744813,743127,664249,495340,492135
Noncontrolling interests in Consolidated real estate related funds,85431,84743,84644,82875,92759
Noncontrolling interests in Operating Partnership,222107,246086,264887,290005,292645
Total equity,4076288,4102398,4100931,4009497,4051406
Total liabilities and equity,7974495,7958713,7947478,7871503,7890952
