Line Item,3 Months Ended Sep 30 2025,3 Months Ended Sep 30 2024,3 Months Ended Jun 30 2025,9 Months Ended Sep 30 2025,9 Months Ended Sep 30 2024
"Revenues:",,,,
Rental revenue,164687,184235,168033,511741,543636
Fee and other income,8272,10664,9012,25282,27548
Total revenues,172959,194899,177045,537023,571184
"Expenses:",,,,
Operating,79392,80316,74884,232326,226248
Depreciation and amortization,57766,60071,60062,176707,182920
General and administrative,16340,16672,24311,58112,49938
Transaction related costs,9981,242,709,10840,843
Total expenses,163479,157301,159966,477985,459949
"Other income (expense):",,,,
Loss from real estate related fund investments,(18),(22),(23),(67),(92)
Income (loss) from unconsolidated real estate related funds,71,109,(224),199,(79)
Income (loss) from unconsolidated joint ventures,661,(981),52,(3098),2620
Interest and other income net,3112,3517,4026,26830,10953
Interest and debt expense,(44419),(43805),(42284),(124078),(129903)
(Loss) income before income taxes,(31113),(3584),(21374),10996,(57438)
Income tax benefit (expense),831,(619),965,(1328),1430
Net (loss) income,(30282),(4203),(20409),9668,(56008)
"Less net (income) loss attributable to noncontrolling interests in:",,,,
Consolidated joint ventures,(279),(6959),(971),(18434),(5095)
Consolidated real estate related funds,581,(688),(99),408,(2556)
Operating Partnership,2302,893,1694,716,4901
Net loss attributable to common stockholders,$(28947),$(9688),$(19785),$(7642),$(58758)
Per diluted share,$(0.13),$(0.04),$(0.09),$(0.04),$(0.27)
