Debt Instrument,PGRE Share Amount,Interest Rate,Maturity
"Consolidated Debt:",,,
1633 Broadway,$1125012,2.99%,2029
1301 Avenue of the Americas,$900000,6.39%,2030
31 West 52nd Street,$500000,3.80%,2027
One Market Plaza,$416500,4.08%,2026
300 Mission Street,$72168,4.50%,2028
"Unconsolidated JV Debt:",,,
712 Fifth Avenue,$150000,3.39%,2028
55 Second Street,$82669,3.88%,2026
60 Wall Street,$32585,9.23%,2025
1600 Broadway,$9016,3.45%,2027
Oder-Center Germany,$769,3.58%,2025
"Non-Core Unconsolidated JV Debt:",,,
111 Sutter Street,$87140,6.44%,2025
"Total:",,,
PGRE Share of Total Debt,$3375859,4.37%,3.1 Years
