Year of Expiration,Square Feet Expiring,PGRE Share of Sq Ft,Annualized Rent Amount,Rent PSF,% of Annualized Rent
Month to Month,8543,5514,645,114.71,0.1%
Q4 2025,539543,347405,32991,94.90,5.3%
Q1 2026,513104,371499,31720,86.04,5.1%
Q2 2026,53964,47739,4174,87.40,0.7%
Q3 2026,184938,104972,14342,110.70,2.3%
Q4 2026,428358,254824,20838,81.81,3.3%
Total 2026,1180364,779034,71074,88.09,11.4%
2027,298097,205866,18247,88.42,2.9%
2028,233868,155381,12464,79.93,2.0%
2029,587192,493135,40899,87.20,6.6%
Thereafter,6259776,5145845,447763,89.09,71.7%
