Property,Location,PGRE Ownership,Square Feet (In Service),Percent Leased,Percent Occupied,Annualized Rent PSF
1633 Broadway,New York,90.0%,2275229,93.4%,91.7%,$85.64
1301 Avenue of the Americas,New York,100.0%,1701226,99.5%,86.3%,$85.49
1325 Avenue of the Americas,New York,100.0%,810318,95.3%,86.3%,$70.56
31 West 52nd Street,New York,100.0%,757003,86.3%,61.6%,$93.78
900 Third Avenue,New York,55.0%,575294,93.3%,61.8%,$72.51
712 Fifth Avenue,New York,50.0%,447925,82.4%,77.2%,$122.79
60 Wall Street,New York,5.0%,0,N/A,N/A,N/A
One Market Plaza,San Francisco,49.0%,1552609,70.7%,69.6%,$121.06
300 Mission Street,San Francisco,31.1%,603595,72.5%,72.5%,$100.74
One Front Street,San Francisco,75.0%,638221,78.5%,78.5%,$94.65
55 Second Street,San Francisco,44.1%,370613,85.0%,85.0%,$84.20
111 Sutter Street,San Francisco,49.0%,247443,43.8%,43.8%,$84.50
