Line Item,3 Months Sep 30 2025,3 Months Sep 30 2024,3 Months Jun 30 2025,9 Months Sep 30 2025,9 Months Sep 30 2024
Net (loss) income,$(30282),$(4203),$(20409),$9668,$(56008)
Real estate depreciation and amortization (inc. JV),60796,63487,63113,192946,185811
Noncontrolling interests adjustment,(12041),(15511),(13404),(46981),(41822)
FFO attributable to Operating Partnership,18473,43773,29300,155633,87981
Noncontrolling interests in OP,(3695),(1361),(2310),(13079),(6999)
FFO attributable to common stockholders,17112,40078,26990,142554,80982
Per diluted share (FFO),$0.08,$0.18,$0.12,$0.66,$0.37
"Adjustments for Core FFO:",,,,
Transaction related costs,9981,242,709,10840,843
Write-off of deferred financing costs,2257,0,462,4008,0
Severance costs,0,0,8188,8188,0
Non-cash gain on extinguishment of IPO tax liability,0,0,0,0,-15437
Other net,3304,244,1429,2959,4396
Core FFO attributable to Operating Partnership,34015,44259,40088,143998,115413
Noncontrolling interests in OP (Core),(2506),(3736),(3161),(12109),(9086)
Core FFO attributable to common stockholders,31509,40523,36927,131889,106327
Per diluted share (Core FFO),$0.14,$0.19,$0.17,$0.61,$0.48
