Beneficial Owner,Shares Beneficially Owned,Percentage of All Shares,Shares and Units Beneficially Owned,Percentage of All Shares and Units,Source
"The Otto Family Group","33,558,950",15.1%,"33,876,333",14.2%,[cite: 2825]
"The Vanguard Group","25,584,146",11.5%,"25,584,146",10.7%,[cite: 2825]
"BlackRock","20,995,690",9.5%,"20,995,690",8.8%,[cite: 2825]
"Alexander Otto","14,145,495",6.4%,"14,145,495",5.9%,[cite: 2825]
"Katharina Otto-Bernstein","12,274,852",5.5%,"12,592,235",5.3%,[cite: 2825]
"Long Pond Capital LP","11,737,433",5.3%,"11,737,433",4.9%,[cite: 2825]
"Saray Value Fund SPC","11,273,504",5.1%,"11,273,504",4.7%,[cite: 2825]
"Albert Behler","1,603,627",*,14568061,6.0%,[cite: 2825]
"Wilbur Paes","10,000",*,"1,010,182",*,[cite: 2825]
"Peter Brindley",-,*,"1,782,512",*,[cite: 2825]
