Item,Detail,Source
Meeting Date,"December 16, 2025",[cite: 883]
Meeting Time,"10:00 a.m., Eastern Time",[cite: 883]
Location,Virtual (www.virtualshareholdermeeting.com/PGRE2025SM),[cite: 884]
Record Date,"November 4, 2025",[cite: 927]
Merger Consideration (Cash per Share),$6.60,[cite: 891]
Buyer,Rithm Capital Corp. ("Parent"),[cite: 886]
Transaction Value Premium (vs May 16 2025),38% premium over unaffected closing price,[cite: 1051]
Transaction Value Premium (vs 30-day VWAP),55% premium,[cite: 1051]
Company Termination Payment (Standard),$59.7 million,[cite: 1194]
Company Termination Payment (Reduced/Specific),$47.7 million (applicable to specific parties per Amendment),[cite: 1202]
Outside Date (Termination Date),"March 17, 2026",[cite: 1163]
Shares Outstanding on Record Date,221,919,163,[cite: 1027]
