Category,Metric/Item,Value,Unit/Context,Source Citation
[cite_start]Overall Market Statistics,Overall Delinquency Rate (Aug 2025),7.29,Percentage,[cite: 6]
[cite_start]Overall Market Statistics,Delinquency Rate Change (Monthly),+6,Basis Points,[cite: 6]
[cite_start]Overall Market Statistics,Delinquency Rate Change (Year over Year),+185,Basis Points,[cite: 28]
[cite_start]Overall Market Statistics,Total Delinquent Balance,44.1,USD Billion,[cite: 7]
[cite_start]Overall Market Statistics,Total Outstanding Balance,604.6,USD Billion,[cite: 7]
[cite_start]Overall Market Statistics,Seriously Delinquent Rate (60+ days/REO/Foreclosure),6.88,Percentage,[cite: 29]
[cite_start]Overall Market Statistics,Rate Including Performing Matured Balloon,9.31,Percentage,[cite: 17]
[cite_start]Overall Market Statistics,Rate Excluding Defeased Loans,7.48,Percentage,[cite: 30]
[cite_start]Overall Market Statistics,Rate One Year Ago (Aug 2024),5.44,Percentage,[cite: 31]
[cite_start]Loan Activity (Flows),Newly Delinquent Loans (Total),4.8,USD Billion,[cite: 13]
[cite_start]Loan Activity (Flows),Cured Loans (Total),3.8,USD Billion,[cite: 13]
[cite_start]Loan Activity (Flows),Office - Newly Delinquent,2.5,USD Billion,[cite: 14]
[cite_start]Loan Activity (Flows),Office - Cured,1.3,USD Billion,[cite: 14]
[cite_start]Loan Activity (Flows),Retail - Newly Delinquent,300,USD Million,[cite: 15]
[cite_start]Loan Activity (Flows),Retail - Cured,700,USD Million,[cite: 15]
[cite_start]Property Type Rates (Overall),Multifamily,6.86,Percentage (9-year high),[cite: 10]
[cite_start]Property Type Rates (Overall),Office,11.66,Percentage (All-time high),[cite: 10]
[cite_start]Property Type Rates (Overall),Retail,6.42,Percentage,[cite: 11]
[cite_start]Property Type Rates (Overall),Industrial,0.60,Percentage,[cite: 64]
[cite_start]Property Type Rates (Overall),Lodging,6.54,Percentage,[cite: 64]
[cite_start]Property Type Trends (6 Mo Ago),Multifamily,4.46,Percentage,[cite: 64]
[cite_start]Property Type Trends (6 Mo Ago),Office,9.78,Percentage,[cite: 64]
[cite_start]Property Type Trends (6 Mo Ago),Retail,7.49,Percentage,[cite: 64]
[cite_start]Property Type Trends (6 Mo Ago),Industrial,0.34,Percentage,[cite: 64]
[cite_start]Property Type Trends (6 Mo Ago),Lodging,6.43,Percentage,[cite: 64]
[cite_start]Property Type Trends (12 Mo Ago),Multifamily,3.30,Percentage,[cite: 64]
[cite_start]Property Type Trends (12 Mo Ago),Office,7.97,Percentage,[cite: 64]
[cite_start]Property Type Trends (12 Mo Ago),Retail,6.21,Percentage,[cite: 64]
[cite_start]Property Type Trends (12 Mo Ago),Industrial,0.50,Percentage,[cite: 64]
[cite_start]Property Type Trends (12 Mo Ago),Lodging,5.91,Percentage,[cite: 64]
[cite_start]CMBS 2.0+ Specifics,Overall Delinquency Rate,7.20,Percentage,[cite: 72]
[cite_start]CMBS 2.0+ Specifics,Seriously Delinquent Rate,6.79,Percentage,[cite: 74]
[cite_start]CMBS 2.0+ Specifics,Rate Excluding Defeased Loans,7.37,Percentage,[cite: 75]
[cite_start]CMBS 2.0+ Property Rates,Industrial,0.60,Percentage,[cite: 77]
[cite_start]CMBS 2.0+ Property Rates,Lodging,6.47,Percentage,[cite: 77]
[cite_start]CMBS 2.0+ Property Rates,Multifamily,6.86,Percentage,[cite: 77]
[cite_start]CMBS 2.0+ Property Rates,Office,11.52,Percentage,[cite: 77]
[cite_start]CMBS 2.0+ Property Rates,Retail,6.10,Percentage,[cite: 77]
[cite_start]Delinquency Status Breakdown,Current,90.69,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,30 Days Delinquent,0.41,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,60 Days Delinquent,0.08,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,90 Days Delinquent,0.46,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,Performing Matured Balloon,2.02,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,Non-Performing Matured Balloon,2.58,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,Foreclosure,2.84,Percentage of Balance,[cite: 35]
[cite_start]Delinquency Status Breakdown,REO,0.92,Percentage of Balance,[cite: 35]
